,Hour,Temperature,Humidity,Feels_Like,Precipitation
0,02:30,18.0,96.0,18.0,0.0
1,02:45,18.0,96.0,18.0,0.0
2,03:00,17.8,96.0,17.8,0.14
3,03:15,17.8,96.0,17.8,0.14
4,03:30,17.8,96.0,17.8,0.14
5,03:45,17.8,96.0,17.8,0.14
6,04:00,17.5,96.0,17.5,0.0
7,04:15,17.5,96.0,17.5,0.0
8,04:30,17.5,96.0,17.5,0.0
9,04:45,17.5,96.0,17.5,0.0
10,05:00,17.2,96.0,17.2,0.02
11,05:30,17.2,96.0,17.2,0.02
12,06:30,17.04737219188005,96.24918962214598,17.014244914825255,-0.19650227124729372
13,07:30,18.54861406140553,93.84505573248185,18.884923815932765,-0.26769372974689515
14,08:30,21.148547525478218,88.85405762342386,22.173389739894855,-0.3711161771237631
15,09:30,24.011155479903216,81.98835258691302,25.763885298973996,-0.4343646605916272
16,10:30,26.162926398904474,75.16556666628395,28.35771370192373,-0.39560451862414847
17,11:30,27.16127569230866,70.4523616114137,29.418236752065948,-0.26221413386469966
18,12:30,27.280485535197634,68.99809114686128,29.42798268190736,-0.10092832470447682
19,13:30,27.08471735037081,70.73710013390308,29.250109556308978,0.03378347803309269
20,14:30,26.828537542343767,74.89276945917035,29.229749303354538,0.15853553779722682
21,15:30,26.262766563459003,80.63909917390883,28.898627666967958,0.33998297073032807
22,16:30,25.003356956649927,87.29629906086805,27.541914062615703,0.6067900520730306
23,17:30,23.063233475741896,94.06326665333829,25.044218323038972,0.8812698568195595
24,18:30,20.997781941028414,99.83343940283378,22.17194154463939,1.0081839113040165
25,19:30,19.509250495909516,103.5332966209248,20.012532788782615,0.8693141405253723
26,20:30,18.892438754610545,104.79385308455844,19.111376017042065,0.48730145222121596
27,21:30,18.851415124035533,104.29729561730402,19.119417612759253,0.024400651335595252
28,22:30,18.84001529692451,103.35802754394317,19.241030744850466,-0.327469631664301
29,23:30,18.566017476932593,103.01510134935403,18.992366734853498,-0.47353695875826957
30,00:30,18.164324428309676,103.41131096555031,18.52180675029945,-0.45658188782094705
31,01:30,17.91105250245409,103.98713193938518,18.24123466897474,-0.3888994429939752
32,02:30,17.832284108776236,104.24119437122596,18.240564391056186,-0.3490114881113391
33,03:30,17.66063334973515,104.26501427796777,18.162138645338263,-0.33697318694501227
34,04:30,17.20790105204482,104.50032732442912,17.69312687220865,-0.3146038921295523
35,05:30,16.752018080591647,104.97178506028588,17.137120770778946,-0.27259007344812325
36,06:30,16.975907766848422,104.82347693551806,17.385539078360004,-0.24818499057562934
37,07:30,18.428082092744614,102.7481849741645,19.19601873245348,-0.27796836290812527
38,08:30,20.976305171850218,98.05030169601015,22.41873532575186,-0.3428598248329805
39,09:30,23.784997326423692,91.43787710949321,25.938460170259496,-0.37105657196809083
40,10:30,25.881112138844703,84.82479112596353,28.457080459391566,-0.3012730775300788
41,11:30,26.82255274004227,80.27436920264564,29.438590977536247,-0.14137634877278718
42,12:30,26.88410630026436,78.93308283698462,29.366195084820923,0.041477372386284794
43,13:30,26.630450963626284,80.73288792795245,29.10376078691781,0.19247023107709954
44,14:30,26.316675891299532,84.89530333501857,28.997157036573633,0.32794589600514684
45,15:30,25.694124561911465,90.59302171119953,28.578865652338934,0.514370516182318
46,16:30,24.379267042092753,97.1455214193543,27.134822930859187,0.7803037438286294
47,17:30,22.385534395863882,103.75155926895278,24.550408036502475,1.0480399739191149
48,18:30,20.268801959736614,109.30503054490156,21.592785478579597,1.1624084548579248
49,19:30,18.731785214551973,112.73347183407739,19.350153528703807,1.0053445484083996
50,20:30,18.06972380722477,113.66954849194212,18.36862305353751,0.5997264873440293
51,21:30,17.987094067712157,112.7976780959644,18.29983721276652,0.10812734652158269
52,22:30,17.938103073967525,111.43505491541528,18.34882836869314,-0.27713905186673676
53,23:30,17.63085987745287,110.62405593480827,18.032362455179136,-0.46083320935015104
54,00:30,17.200554029098306,110.51130014610392,17.499384211064953,-0.48520277302514236
55,01:30,16.923541598940297,110.5415497314664,17.162284197195074,-0.46195091376531544
56,02:30,16.826095191167646,110.21813846919285,17.11142094084189,-0.46895640897079854
57,03:30,16.640967702665574,109.6376535278464,16.98951531283851,-0.5055885154208519
58,04:30,16.18004607789177,109.24721516436092,16.484044769601,-0.5329468665761231
59,05:30,15.721293959952126,109.07711509414045,15.898836087396749,-0.5409738898764842
